y/m,rainfall,rainfall,max_rainfall_per_day,max_rainfall_per_day,>=50mm,>=15m/s,avg wind
1934/6,166.3,0,86.3,0,1,,
1934/7,76.1,0,23.7,0,0,,
1934/8,5.6,0,1.7,0,0,,
1934/9,213.7,0,81.3,0,1,,
1934/10,101.6,0,40.4,0,0,,
1934/11,102.6,0,26.0,0,0,,
1934/12,34.7,0,20.0,0,0,,
1935/1,28.9,0,22.9,0,0,,
1935/2,72.5,0,27.7,0,0,,
1935/3,64.4,0,23.6,0,0,,
1935/4,76.4,0,30.9,0,0,,
1935/5,84.9,0,33.6,0,0,,
1935/6,301.8,0,131.2,0,1,,
1935/7,136.8,0,38.4,0,0,,
1935/8,446.8,0,143.8,0,3,,
1935/9,323.5,0,82.4,0,3,,
1935/10,91.0,0,66.3,0,1,,
1935/11,63.3,0,18.3,0,0,,
1935/12,69.6,0,26.6,0,0,,
1936/1,17.7,0,17.1,0,0,,
1936/2,38.8,0,13.2,0,0,,
1936/3,37.8,0,12.4,0,0,,
1936/4,260.6,0,41.0,0,0,,
1936/5,136.6,0,40.2,0,0,,
1936/6,66.3,0,28.4,0,0,,
1936/7,185.5,0,44.5,0,0,,
1936/8,54.0,0,16.7,0,0,,
1936/9,135.4,0,40.2,0,0,,
1936/10,147.8,0,35.6,0,0,,
1936/11,53.6,0,26.9,0,0,,
1936/12,45.3,0,14.6,0,0,,
1937/1,48.7,0,13.0,0,0,,
1937/2,110.1,0,29.5,0,0,,
1937/3,112.2,0,46.3,0,0,,
1937/4,73.9,0,13.7,0,0,,
1937/5,94.9,0,30.2,0,0,,
1937/6,116.5,0,41.4,0,0,,
1937/7,101.6,0,33.7,0,0,,
1937/8,52.2,0,33.8,0,0,,
1937/9,144.1,0,58.4,0,1,,
1937/10,98.1,0,41.8,0,0,,
1937/11,118.8,0,34.2,0,0,,
1937/12,33.8,0,16.4,0,0,,
1938/1,53.2,0,19.5,0,0,,
1938/2,27.2,0,15.6,0,0,,
1938/3,83.7,0,25.8,0,0,,
1938/4,95.7,0,36.4,0,0,,
1938/5,126.4,0,34.9,0,0,,
1938/6,163.2,0,50.7,0,1,,
1938/7,519.5,0,270.4,0,2,,
1938/8,320.5,0,135.4,0,3,,
1938/9,79.1,0,19.8,0,0,,
1938/10,190.0,0,43.2,0,0,,
1938/11,39.2,0,28.6,0,0,,
1938/12,21.5,0,7.2,0,0,,
1939/1,31.8,0,11.0,0,0,,
1939/2,33.5,0,11.9,0,0,,
1939/3,104.0,0,45.0,0,0,,
1939/4,99.6,0,24.7,0,0,,
1939/5,83.7,0,57.6,0,1,,
1939/6,106.5,0,39.5,0,0,,
1939/7,54.5,0,31.2,0,0,,
1939/8,112.0,0,103.5,0,1,,
1939/9,160.2,0,63.8,0,1,,
1939/10,149.0,0,64.5,0,1,,
1939/11,95.2,0,48.5,0,0,,
1939/12,1.0,0,1.0,0,0,,
1940/1,8.0,0,4.5,0,0,,
1940/2,77.9,0,25.6,0,0,,
1940/3,73.7,0,21.4,0,0,,
1940/4,101.2,0,30.7,0,0,,
1940/5,14.6,0,7.7,0,0,,
1940/6,254.4,0,94.0,0,1,,
1940/7,72.8,0,38.2,0,0,,
1940/8,196.5,0,32.9,0,0,,
1940/9,117.3,0,77.3,0,1,,
1940/10,127.5,0,55.6,0,1,,
1940/11,42.0,0,14.0,0,0,,
1940/12,32.1,0,10.3,0,0,,
1941/1,60.0,0,27.0,0,0,,
1941/2,67.4,0,13.9,0,0,,
1941/3,67.1,0,14.4,0,0,,
1941/4,58.4,0,20.1,0,0,,
1941/5,267.1,0,55.3,0,2,,
1941/6,334.0,0,68.9,0,2,,
1941/7,136.3,0,37.3,0,0,,
1941/8,151.6,0,40.8,0,0,,
1941/9,315.2,0,62.4,0,2,,
1941/10,52.7,0,14.9,0,0,,
1941/11,84.1,0,40.4,0,0,,
1941/12,60.4,0,25.6,0,0,,
1942/1,5.8,0,4.1,0,0,,
1942/2,49.2,0,9.7,0,0,,
1942/3,137.7,0,45.2,0,0,,
1942/4,90.9,0,30.5,0,0,,
1942/5,111.8,0,35.2,0,0,,
1942/6,248.7,0,54.5,0,1,,
1942/7,19.0,0,16.4,0,0,,
1942/8,141.9,0,37.3,0,0,,
1942/9,204.1,0,80.0,0,2,,
1942/10,40.0,0,11.0,0,0,,
1942/11,43.7,0,29.2,0,0,,
1942/12,7.2,0,2.2,0,0,,
1943/1,28.1,0,12.6,0,0,,
1943/2,50.6,0,23.2,0,0,,
1943/3,54.2,0,17.4,0,0,,
1943/4,132.0,0,50.5,0,1,,
1943/5,93.3,0,40.9,0,0,,
1943/6,153.8,0,51.3,0,1,,
1943/7,308.3,0,112.5,0,2,,
1943/8,92.8,0,33.8,0,0,,
1943/9,52.3,0,19.2,0,0,,
1943/10,129.7,0,56.4,0,1,,
1943/11,25.4,0,12.7,0,0,,
1943/12,27.0,0,10.9,0,0,,
1944/1,19.5,0,13.7,0,0,,
1944/2,33.1,0,14.1,0,0,,
1944/3,114.9,0,50.6,0,1,,
1944/4,113.8,0,55.3,0,1,,
1944/5,78.0,0,36.0,0,0,,
1944/6,86.2,0,35.7,0,0,,
1944/7,22.4,0,12.8,0,0,,
1944/8,133.2,0,73.4,0,1,,
1944/9,139.2,0,38.3,0,0,,
1944/10,166.7,0,51.5,0,1,,
1944/11,132.4,0,30.3,0,0,,
1944/12,16.7,0,10.4,0,0,,
1945/1,1.8,0,1.8,0,0,,
1945/2,47.0,0,19.3,0,0,,
1945/3,,,,,,,
1945/4,95.7,0,42.5,0,0,,
1945/5,138.9,0,21.9,0,0,,
1945/6,202.4,0,55.9,0,1,,
1945/7,205.5,0,89.9,0,1,,
1945/8,104.7,0,48.7,0,0,,
1945/9,169.1,0,31.9,0,0,,
1945/10,499.3,0,262.8,0,2,,
1945/11,54.7,0,15.9,0,0,,
1945/12,45.5,0,20.5,0,0,,
1946/1,37.9,0,20.8,0,0,,
1946/2,52.0,0,16.6,0,0,,
1946/3,88.5,0,16.4,0,0,,
1946/4,120.8,0,27.1,0,0,,
1946/5,119.7,0,56.9,0,1,,
1946/6,237.2,0,39.2,0,0,,
1946/7,179.8,0,58.1,0,1,,
1946/8,94.1,0,45.1,0,0,,
1946/9,166.8,0,47.3,0,0,,
1946/10,116.6,0,26.3,0,0,,
1946/11,72.3,0,26.7,0,0,,
1946/12,51.6,0,25.3,0,0,,
1947/1,51.7,0,16.6,0,0,,
1947/2,29.9,0,22.0,0,0,,
